form_key,form_id,form_version,form_label,type,record_urn,dataelement_urn,source_id,mandatory,repeatable,position,resolution_status
236_2_Status,236,2,Status,dataelement,,urn:osse-11:dataelement:341:1,X_236_0_341,False,False,5,direct_resolved
236_2_Status,236,2,Status,dataelement,,urn:osse-11:dataelement:342:1,X_236_0_342,False,False,7,direct_resolved
236_2_Status,236,2,Status,dataelement,,urn:osse-11:dataelement:343:1,X_236_0_343,True,False,9,direct_resolved
236_2_Status,236,2,Status,dataelement,,urn:osse-11:dataelement:344:1,X_236_0_344,False,False,10,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:241:1,X_231_0_241,True,False,0,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:242:1,X_231_0_242,False,False,1,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:348:1,X_231_0_348,False,False,4,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:244:1,X_231_0_244,False,False,5,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:245:1,X_231_0_245,False,False,6,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:246:1,X_231_0_246,False,False,7,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:247:1,X_231_0_247,False,False,8,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:248:1,X_231_0_248,False,False,9,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:249:1,X_231_0_249,False,False,10,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:250:1,X_231_0_250,False,False,11,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:251:1,X_231_0_251,False,False,12,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:252:1,X_231_0_252,False,False,13,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:253:1,X_231_0_253,False,False,14,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:254:1,X_231_0_254,False,False,15,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:255:1,X_231_0_255,False,False,16,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:256:1,X_231_0_256,False,False,17,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:357:1,X_231_0_357,False,False,18,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:258:1,X_231_0_258,False,False,19,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:347:1,X_231_0_347,False,False,21,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:260:1,X_231_0_260,False,False,22,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:375:1,X_231_0_375,False,False,23,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:262:1,X_231_0_262,False,False,24,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:263:1,X_231_0_263,False,False,25,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:264:1,X_231_0_264,False,False,26,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:265:1,X_231_0_265,False,False,27,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:266:1,X_231_0_266,False,False,28,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:267:1,X_231_0_267,False,False,29,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:268:1,X_231_0_268,False,False,30,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:269:1,X_231_0_269,False,False,31,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:270:1,X_231_0_270,False,False,32,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:271:1,X_231_0_271,False,False,33,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:272:1,X_231_0_272,False,False,34,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:273:1,X_231_0_273,False,False,35,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:274:1,X_231_0_274,False,False,37,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:275:1,X_231_0_275,False,False,38,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:276:1,X_231_0_276,False,False,40,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:277:1,X_231_0_277,False,False,41,direct_resolved
231_12_Laboratory data 1,231,12,Laboratory data 1,dataelement,,urn:osse-11:dataelement:278:1,X_231_0_278,False,False,42,direct_resolved
222_1_Screen visit,222,1,Screen visit,dataelement,,urn:osse-11:dataelement:42:1,X_222_0_42,True,False,1,direct_resolved
222_1_Screen visit,222,1,Screen visit,dataelement,,urn:osse-11:dataelement:46:1,X_222_0_46,True,False,3,direct_resolved
222_1_Screen visit,222,1,Screen visit,dataelement,,urn:osse-11:dataelement:45:1,X_222_0_45,False,False,4,direct_resolved
222_2_Screen visit,222,2,Screen visit,dataelement,,urn:osse-11:dataelement:42:1,X_222_0_42,True,False,1,direct_resolved
222_2_Screen visit,222,2,Screen visit,dataelement,,urn:osse-11:dataelement:46:1,X_222_0_46,True,False,3,direct_resolved
222_2_Screen visit,222,2,Screen visit,dataelement,,urn:osse-11:dataelement:45:1,X_222_0_45,False,False,4,direct_resolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:42:1,X_222_0_42,True,False,1,direct_resolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:46:1,X_222_0_46,True,False,3,direct_resolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:45:1,X_222_0_45,False,False,4,direct_resolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:47:1,X_222_0_47,True,False,6,direct_resolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:50:1,X_222_0_50,False,False,9,direct_resolved
224_1_ACLF evaluation,224,1,ACLF evaluation,dataelement,,urn:osse-11:dataelement:62:1,X_224_0_62,False,False,5,direct_resolved
224_1_ACLF evaluation,224,1,ACLF evaluation,dataelement,,urn:osse-11:dataelement:63:1,X_224_0_63,False,False,6,direct_resolved
224_2_ACLF evaluation,224,2,ACLF evaluation,dataelement,,urn:osse-11:dataelement:62:1,X_224_0_62,False,False,5,direct_resolved
224_2_ACLF evaluation,224,2,ACLF evaluation,dataelement,,urn:osse-11:dataelement:63:1,X_224_0_63,False,False,6,direct_resolved
224_2_ACLF evaluation,224,2,ACLF evaluation,dataelement,,urn:osse-11:dataelement:88:1,X_224_0_88,False,False,9,direct_resolved
224_2_ACLF evaluation,224,2,ACLF evaluation,dataelement,,urn:osse-11:dataelement:89:1,X_224_0_89,False,False,10,direct_resolved
224_2_ACLF evaluation,224,2,ACLF evaluation,dataelement,,urn:osse-11:dataelement:90:1,X_224_0_90,False,False,11,direct_resolved
