dataelement_id;dataelement_version;dataelement_urn;pv_value;pv_language;pv_designation;pv_definition;pv_selection
133;1;urn:osse-11:dataelement:133:1;Yes;en;Had hepatocellular carcinoma;Had hepatocellular carcinoma;SELECT_ONE_RADIO
133;1;urn:osse-11:dataelement:133:1;No;en;No hepatocellular carcinoma;No hepatocellular carcinoma;SELECT_ONE_RADIO
133;1;urn:osse-11:dataelement:133:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
136;1;urn:osse-11:dataelement:136:1;Yes;en;Had vascular invasion;Had vascular invasion;SELECT_ONE_RADIO
136;1;urn:osse-11:dataelement:136:1;No;en;No  vascular invasion;No  vascular invasion;SELECT_ONE_RADIO
136;1;urn:osse-11:dataelement:136:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
138;1;urn:osse-11:dataelement:138:1;Yes;en;Alcoholic cirrhosis;Alcoholic cirrhosis;SELECT_ONE_RADIO
138;1;urn:osse-11:dataelement:138:1;No;en;No alcoholic cirrhosis;No alcoholic cirrhosis;SELECT_ONE_RADIO
138;1;urn:osse-11:dataelement:138:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
139;1;urn:osse-11:dataelement:139:1;Medical advice;en;Medical advice;Medical advice;SELECT_MANY_CHECKBOX
139;1;urn:osse-11:dataelement:139:1;Detoxification/dishabituation treatment;en;Detoxification/dishabituation treatment;Detoxification/dishabituation treatment;SELECT_MANY_CHECKBOX
139;1;urn:osse-11:dataelement:139:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
140;1;urn:osse-11:dataelement:140:1;No response (active drinker);en;No response (active drinker);No response (active drinker);SELECT_ONE_RADIO
140;1;urn:osse-11:dataelement:140:1;Moderate response (moderate drinker);en;Moderate response (moderate drinker);Moderate response (moderate drinker);SELECT_ONE_RADIO
140;1;urn:osse-11:dataelement:140:1;Total response (patient teetotaler);en;Total response (patient teetotaler);Total response (patient teetotaler);SELECT_ONE_RADIO
140;1;urn:osse-11:dataelement:140:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
141;1;urn:osse-11:dataelement:141:1;Yes;en;Had hepatitis C virus antiviral therapy;Had hepatitis C virus antiviral therapy;SELECT_ONE_RADIO
141;1;urn:osse-11:dataelement:141:1;No;en;No hepatitis C virus antiviral therapy;No hepatitis C virus antiviral therapy;SELECT_ONE_RADIO
141;1;urn:osse-11:dataelement:141:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
142;1;urn:osse-11:dataelement:142:1;Boceprevir;en;Boceprevir;Boceprevir;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Daclatasvir;en;Daclatasvir;Daclatasvir;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Elbasvir/Grazoprevir;en;Elbasvir/Grazoprevir;Elbasvir/Grazoprevir;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Ledipasvir/Sofosbuvir;en;Ledipasvir/Sofosbuvir;Ledipasvir/Sofosbuvir;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;OBV/PTV/r;en;OBV/PTV/r;OBV/PTV/r;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;OBV/PTV/r+DSV;en;OBV/PTV/r+DSV;OBV/PTV/r+DSV;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Peg-IFN alfa;en;Peg-IFN alfa;Peg-IFN alfa;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Ribavirin;en;Ribavirin;Ribavirin;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Simeprevir;en;Simeprevir;Simeprevir;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Sofosbuvir;en;Sofosbuvir;Sofosbuvir;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Telaprevir;en;Telaprevir;Telaprevir;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
142;1;urn:osse-11:dataelement:142:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
143;1;urn:osse-11:dataelement:143:1;Yes;en;Antiviral therapy terminated ;Antiviral therapy terminated ;SELECT_ONE_RADIO
143;1;urn:osse-11:dataelement:143:1;No;en;Antiviral therapy not terminated ;Antiviral therapy not terminated;SELECT_ONE_RADIO
143;1;urn:osse-11:dataelement:143:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
144;1;urn:osse-11:dataelement:144:1;Yes;en;Sustained virological response;Sustained virological response;SELECT_ONE_RADIO
144;1;urn:osse-11:dataelement:144:1;No;en;No sustained virological response;No sustained virological response;SELECT_ONE_RADIO
144;1;urn:osse-11:dataelement:144:1;Pending to complete treatment follow-up;en;Pending to complete treatment follow-up;Pending to complete treatment follow-up;SELECT_ONE_RADIO
144;1;urn:osse-11:dataelement:144:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
145;1;urn:osse-11:dataelement:145:1;Yes;en;Had early virological response;Had early virological response;SELECT_ONE_RADIO
145;1;urn:osse-11:dataelement:145:1;No;en;No early virological response;No early virological response;SELECT_ONE_RADIO
145;1;urn:osse-11:dataelement:145:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
146;1;urn:osse-11:dataelement:146:1;Yes;en;Had hepatitis B virus antiviral therapy;Had hepatitis B virus antiviral therapy;SELECT_ONE_RADIO
146;1;urn:osse-11:dataelement:146:1;No;en;No hepatitis B virus antiviral therapy;No hepatitis B virus antiviral therapy;SELECT_ONE_RADIO
146;1;urn:osse-11:dataelement:146:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
147;1;urn:osse-11:dataelement:147:1;Adefovir;en;Adefovir;Adefovir;SELECT_MANY_CHECKBOX
147;1;urn:osse-11:dataelement:147:1;Entecavir;en;Entecavir;Entecavir;SELECT_MANY_CHECKBOX
147;1;urn:osse-11:dataelement:147:1;Lamivudine;en;Lamivudine;Lamivudine;SELECT_MANY_CHECKBOX
147;1;urn:osse-11:dataelement:147:1;Peg-IFN alfa;en;Peg-IFN alfa;Peg-IFN alfa;SELECT_MANY_CHECKBOX
147;1;urn:osse-11:dataelement:147:1;Tenofovir;en;Tenofovir;Tenofovir;SELECT_MANY_CHECKBOX
147;1;urn:osse-11:dataelement:147:1;Telbivudine;en;Telbivudine;Telbivudine;SELECT_MANY_CHECKBOX
147;1;urn:osse-11:dataelement:147:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
147;1;urn:osse-11:dataelement:147:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
148;1;urn:osse-11:dataelement:148:1;Yes;en;Had complete response (<10 IU);Had complete response (<10 IU);SELECT_ONE_RADIO
148;1;urn:osse-11:dataelement:148:1;No;en;No complete response;No complete response;SELECT_ONE_RADIO
148;1;urn:osse-11:dataelement:148:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
149;1;urn:osse-11:dataelement:149:1;Yes;en;Had reactivation of hepatitis B virus;Had reactivation of hepatitis B virus;SELECT_ONE_RADIO
149;1;urn:osse-11:dataelement:149:1;No;en;No reactivation of hepatitis B virus;No reactivation of hepatitis B virus;SELECT_ONE_RADIO
149;1;urn:osse-11:dataelement:149:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
150;1;urn:osse-11:dataelement:150:1;Yes;en;Had NAFLD/NASH therapy;Had NAFLD/NASH therapy;SELECT_ONE_RADIO
150;1;urn:osse-11:dataelement:150:1;No;en;No NAFLD/NASH therapy;No NAFLD/NASH therapy;SELECT_ONE_RADIO
150;1;urn:osse-11:dataelement:150:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
152;1;urn:osse-11:dataelement:152:1;Diet;en;Diet;Diet;SELECT_MANY_CHECKBOX
152;1;urn:osse-11:dataelement:152:1;Surgery;en;Surgery;Surgery;SELECT_MANY_CHECKBOX
152;1;urn:osse-11:dataelement:152:1;Endoscopy;en;Endoscopy;Endoscopy;SELECT_MANY_CHECKBOX
152;1;urn:osse-11:dataelement:152:1;Others;en;Others;Others;SELECT_MANY_CHECKBOX
152;1;urn:osse-11:dataelement:152:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
152;1;urn:osse-11:dataelement:152:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
153;1;urn:osse-11:dataelement:153:1;Yes;en;Had specific therapy of associated complications;Had specific therapy of associated complications;SELECT_ONE_RADIO
153;1;urn:osse-11:dataelement:153:1;No;en;No specific therapy of associated complications;No specific therapy of associated complications;SELECT_ONE_RADIO
153;1;urn:osse-11:dataelement:153:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
154;1;urn:osse-11:dataelement:154:1;Yes;en;Had autoimmune hepatitis therapy;Had autoimmune hepatitis therapy;SELECT_ONE_RADIO
154;1;urn:osse-11:dataelement:154:1;No;en;No autoimmune hepatitis therapy;No autoimmune hepatitis therapy;SELECT_ONE_RADIO
154;1;urn:osse-11:dataelement:154:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
155;1;urn:osse-11:dataelement:155:1;Azathioprin;en;Azathioprin;Azathioprin;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;CD20-AB;en;CD20-AB;CD20-AB;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Cyclophosphamide;en;Cyclophosphamide;Cyclophosphamide;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Cyclosporin;en;Cyclosporin;Cyclosporin;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Methotrexate;en;Methotrexate;Methotrexate;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;MMF;en;MMF;MMF;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Prednisone;en;Prednisone;Prednisone;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Sirolimus;en;Sirolimus;Sirolimus;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Tacrolimus;en;Tacrolimus;Tacrolimus;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;TNFa-AB;en;TNFa-AB;TNFa-AB;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Others;en;Others;Others;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
155;1;urn:osse-11:dataelement:155:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
156;1;urn:osse-11:dataelement:156:1;Yes;en;Had positive response;Had positive response;SELECT_ONE_RADIO
156;1;urn:osse-11:dataelement:156:1;No;en;No positive response;No positive response;SELECT_ONE_RADIO
156;1;urn:osse-11:dataelement:156:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
157;1;urn:osse-11:dataelement:157:1;Complete;en;Complete;Complete;SELECT_ONE_RADIO
157;1;urn:osse-11:dataelement:157:1;Partial;en;Partial;Partial;SELECT_ONE_RADIO
157;1;urn:osse-11:dataelement:157:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
158;1;urn:osse-11:dataelement:158:1;Yes;en;Had other type of cirrhosis treatment;Had other type of cirrhosis treatment;SELECT_ONE_RADIO
158;1;urn:osse-11:dataelement:158:1;No;en;No other type of cirrhosis treatment;No other type of cirrhosis treatment;SELECT_ONE_RADIO
158;1;urn:osse-11:dataelement:158:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
159;1;urn:osse-11:dataelement:159:1;Yes;en;Had continuous treatment;Had continuous treatment;SELECT_ONE_RADIO
159;1;urn:osse-11:dataelement:159:1;No;en;No continuous treatment;No continuous treatment;SELECT_ONE_RADIO
159;1;urn:osse-11:dataelement:159:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
160;1;urn:osse-11:dataelement:160:1;Yes;en;Had diuretics treatment;Had diuretics treatment;SELECT_ONE_RADIO
160;1;urn:osse-11:dataelement:160:1;No;en;No diuretics treatment;No diuretics treatment;SELECT_ONE_RADIO
160;1;urn:osse-11:dataelement:160:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
161;1;urn:osse-11:dataelement:161:1;Furosemide;en;Furosemide;Furosemide;SELECT_MANY_CHECKBOX
161;1;urn:osse-11:dataelement:161:1;Torasemide;en;Torasemide;Torasemide;SELECT_MANY_CHECKBOX
161;1;urn:osse-11:dataelement:161:1;Spironolactone;en;Spironolactone;Spironolactone;SELECT_MANY_CHECKBOX
161;1;urn:osse-11:dataelement:161:1;Other;en;Other;Other;SELECT_MANY_CHECKBOX
161;1;urn:osse-11:dataelement:161:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
161;1;urn:osse-11:dataelement:161:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
162;1;urn:osse-11:dataelement:162:1;Yes;en;Had therapeutic paracentesis;Had therapeutic paracentesis;SELECT_ONE_RADIO
162;1;urn:osse-11:dataelement:162:1;No;en;No therapeutic paracentesis;No therapeutic paracentesis;SELECT_ONE_RADIO
162;1;urn:osse-11:dataelement:162:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
163;1;urn:osse-11:dataelement:163:1;Yes;en;Had beta-blockers;Had beta-blockers;SELECT_ONE_RADIO
163;1;urn:osse-11:dataelement:163:1;No;en;No beta-blockers;No beta-blockers;SELECT_ONE_RADIO
163;1;urn:osse-11:dataelement:163:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
164;1;urn:osse-11:dataelement:164:1;Primary prophylaxis;en;Primary prophylaxis;Primary prophylaxis;SELECT_MANY_CHECKBOX
164;1;urn:osse-11:dataelement:164:1;Secondary prophylaxis;en;Secondary prophylaxis;Secondary prophylaxis;SELECT_MANY_CHECKBOX
164;1;urn:osse-11:dataelement:164:1;Cardiac disease;en;Cardiac disease;Cardiac disease;SELECT_MANY_CHECKBOX
164;1;urn:osse-11:dataelement:164:1;Other;en;Other;Other;SELECT_MANY_CHECKBOX
164;1;urn:osse-11:dataelement:164:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
164;1;urn:osse-11:dataelement:164:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
165;1;urn:osse-11:dataelement:165:1;Yes;en;Had intravenous albumin;Had intravenous albumin;SELECT_ONE_RADIO
165;1;urn:osse-11:dataelement:165:1;No;en;No intravenous albumin;No intravenous albumin;SELECT_ONE_RADIO
165;1;urn:osse-11:dataelement:165:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
166;1;urn:osse-11:dataelement:166:1;Paracentesis;en;Paracentesis;Paracentesis;SELECT_MANY_CHECKBOX
166;1;urn:osse-11:dataelement:166:1;HRS prophylaxis;en;HRS prophylaxis;HRS prophylaxis;SELECT_MANY_CHECKBOX
166;1;urn:osse-11:dataelement:166:1;HRS treatment;en;HRS treatment;HRS treatment;SELECT_MANY_CHECKBOX
166;1;urn:osse-11:dataelement:166:1;SBP;en;SBP;SBP;SELECT_MANY_CHECKBOX
166;1;urn:osse-11:dataelement:166:1;Other bacterial infection;en;Other bacterial infection;Other bacterial infection;SELECT_MANY_CHECKBOX
166;1;urn:osse-11:dataelement:166:1;Others;en;Others;Others;SELECT_MANY_CHECKBOX
166;1;urn:osse-11:dataelement:166:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
166;1;urn:osse-11:dataelement:166:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
167;1;urn:osse-11:dataelement:167:1;Yes;en;Had vasopressors;Had vasopressors;SELECT_ONE_RADIO
167;1;urn:osse-11:dataelement:167:1;No;en;No vasopressors;No vasopressors;SELECT_ONE_RADIO
167;1;urn:osse-11:dataelement:167:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
168;1;urn:osse-11:dataelement:168:1;Circulatory failure;en;Circulatory failure;Circulatory failure;SELECT_MANY_CHECKBOX
168;1;urn:osse-11:dataelement:168:1;Gastrointestinal bleeding;en;Gastrointestinal bleeding;Gastrointestinal bleeding;SELECT_MANY_CHECKBOX
168;1;urn:osse-11:dataelement:168:1;HRS prophylaxis;en;HRS prophylaxis;HRS prophylaxis;SELECT_MANY_CHECKBOX
168;1;urn:osse-11:dataelement:168:1;HRS treatment;en;HRS treatment;HRS treatment;SELECT_MANY_CHECKBOX
168;1;urn:osse-11:dataelement:168:1;Others;en;Others;Others;SELECT_MANY_CHECKBOX
168;1;urn:osse-11:dataelement:168:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
168;1;urn:osse-11:dataelement:168:1;n.a;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
169;1;urn:osse-11:dataelement:169:1;Yes;en;Had renal replacement treatment;Had renal replacement treatment;SELECT_ONE_RADIO
169;1;urn:osse-11:dataelement:169:1;No;en;No renal replacement treatment;No renal replacement treatment;SELECT_ONE_RADIO
169;1;urn:osse-11:dataelement:169:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
170;1;urn:osse-11:dataelement:170:1;Yes;en;Had artificial liver support;Had artificial liver support;SELECT_ONE_RADIO
170;1;urn:osse-11:dataelement:170:1;No;en;No artificial liver support;No artificial liver support;SELECT_ONE_RADIO
170;1;urn:osse-11:dataelement:170:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
171;1;urn:osse-11:dataelement:171:1;Yes;en;Had Omeprazol or other PPI;Had Omeprazol or other PPI;SELECT_ONE_RADIO
171;1;urn:osse-11:dataelement:171:1;No;en;No Omeprazol or other PPI;No Omeprazol or other PPI;SELECT_ONE_RADIO
171;1;urn:osse-11:dataelement:171:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
172;1;urn:osse-11:dataelement:172:1;Yes;en;Had endoscopic therapy of bleeding;Had endoscopic therapy of bleeding;SELECT_ONE_RADIO
172;1;urn:osse-11:dataelement:172:1;No;en;No endoscopic therapy of bleeding;No endoscopic therapy of bleeding;SELECT_ONE_RADIO
172;1;urn:osse-11:dataelement:172:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
173;1;urn:osse-11:dataelement:173:1;Yes;en;Had lactulose;Had lactulose;SELECT_ONE_RADIO
173;1;urn:osse-11:dataelement:173:1;No;en;No lactulose;No lactulose;SELECT_ONE_RADIO
173;1;urn:osse-11:dataelement:173:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
174;1;urn:osse-11:dataelement:174:1;Yes;en;Had Rifaximin for HE;Had Rifaximin for HE;SELECT_ONE_RADIO
174;1;urn:osse-11:dataelement:174:1;No;en;No Rifaximin for HE;No Rifaximin for HE;SELECT_ONE_RADIO
174;1;urn:osse-11:dataelement:174:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
175;1;urn:osse-11:dataelement:175:1;Yes;en;Had TIPS;Had TIPS;SELECT_ONE_RADIO
175;1;urn:osse-11:dataelement:175:1;No;en;No TIPS;No TIPS;SELECT_ONE_RADIO
175;1;urn:osse-11:dataelement:175:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
176;1;urn:osse-11:dataelement:176:1;Refractory ascites;en;Refractory ascites;Refractory ascites;SELECT_MANY_CHECKBOX
176;1;urn:osse-11:dataelement:176:1;Variceal bleeding;en;Variceal bleeding;Variceal bleeding;SELECT_MANY_CHECKBOX
176;1;urn:osse-11:dataelement:176:1;Other;en;Other;Other;SELECT_MANY_CHECKBOX
176;1;urn:osse-11:dataelement:176:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
176;1;urn:osse-11:dataelement:176:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
178;1;urn:osse-11:dataelement:178:1;Yes;en;Had antibiotic prophylaxis;Had antibiotic prophylaxis;SELECT_ONE_RADIO
178;1;urn:osse-11:dataelement:178:1;No;en;No antibiotic prophylaxis;No antibiotic prophylaxis;SELECT_ONE_RADIO
178;1;urn:osse-11:dataelement:178:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
179;1;urn:osse-11:dataelement:179:1;SBP;en;SBP;SBP;SELECT_MANY_CHECKBOX
179;1;urn:osse-11:dataelement:179:1;Variceal bleeding;en;Variceal bleeding;Variceal bleeding;SELECT_MANY_CHECKBOX
179;1;urn:osse-11:dataelement:179:1;Endocarditis;en;Endocarditis;Endocarditis;SELECT_MANY_CHECKBOX
179;1;urn:osse-11:dataelement:179:1;Intervention;en;Intervention;Intervention;SELECT_MANY_CHECKBOX
179;1;urn:osse-11:dataelement:179:1;Other;en;Other;Other;SELECT_MANY_CHECKBOX
179;1;urn:osse-11:dataelement:179:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
179;1;urn:osse-11:dataelement:179:1;n.a;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
180;1;urn:osse-11:dataelement:180:1;Yes;en;Had antibiotic for infection (nonprophylactic);Had antibiotic for infection (nonprophylactic);SELECT_ONE_RADIO
180;1;urn:osse-11:dataelement:180:1;No;en;No antibiotic for infection ;No antibiotic for infection ;SELECT_ONE_RADIO
180;1;urn:osse-11:dataelement:180:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
181;1;urn:osse-11:dataelement:181:1;Yes;en;Had corticosteroids;Had corticosteroids;SELECT_ONE_RADIO
181;1;urn:osse-11:dataelement:181:1;No;en;No corticosteroids;No corticosteroids;SELECT_ONE_RADIO
181;1;urn:osse-11:dataelement:181:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
183;1;urn:osse-11:dataelement:183:1;Yes;en;Had treatments for HCC;Had treatments for HCC;SELECT_ONE_RADIO
183;1;urn:osse-11:dataelement:183:1;No;en;No treatments for HCC;No treatments for HCC;SELECT_ONE_RADIO
183;1;urn:osse-11:dataelement:183:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
184;1;urn:osse-11:dataelement:184:1;TACE;en;TACE;TACE;SELECT_MANY_CHECKBOX
184;1;urn:osse-11:dataelement:184:1;Ablation therapy;en;Ablation therapy;Ablation therapy;SELECT_MANY_CHECKBOX
184;1;urn:osse-11:dataelement:184:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
184;1;urn:osse-11:dataelement:184:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
185;1;urn:osse-11:dataelement:185:1;Yes;en;Had Insulin;Had Insulin;SELECT_ONE_RADIO
185;1;urn:osse-11:dataelement:185:1;No;en;No Insulin;No Insulin;SELECT_ONE_RADIO
185;1;urn:osse-11:dataelement:185:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
186;1;urn:osse-11:dataelement:186:1;Yes;en;Had oral antidiabetics;Had oral antidiabetics;SELECT_ONE_RADIO
186;1;urn:osse-11:dataelement:186:1;No;en;No oral antidiabetics;No oral antidiabetics;SELECT_ONE_RADIO
186;1;urn:osse-11:dataelement:186:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
187;1;urn:osse-11:dataelement:187:1;Yes;en;Had Metformin;Had Metformin;SELECT_ONE_RADIO
187;1;urn:osse-11:dataelement:187:1;No;en;No Metformin;No Metformin;SELECT_ONE_RADIO
187;1;urn:osse-11:dataelement:187:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
188;1;urn:osse-11:dataelement:188:1;Yes;en;Had Statins;Had Statins;SELECT_ONE_RADIO
188;1;urn:osse-11:dataelement:188:1;No;en;No Statins;No Statins;SELECT_ONE_RADIO
188;1;urn:osse-11:dataelement:188:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
189;1;urn:osse-11:dataelement:189:1;Yes;en;Had non-bariatric surgery;Had non-bariatric surgery;SELECT_ONE_RADIO
189;1;urn:osse-11:dataelement:189:1;No;en;No non-bariatric surgery;No non-bariatric surgery;SELECT_ONE_RADIO
189;1;urn:osse-11:dataelement:189:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
190;1;urn:osse-11:dataelement:190:1;Liver surgery;en;Liver surgery;Liver surgery;SELECT_MANY_CHECKBOX
190;1;urn:osse-11:dataelement:190:1;Portal-systemic shunt;en;Portal-systemic shunt;Portal-systemic shunt;SELECT_MANY_CHECKBOX
190;1;urn:osse-11:dataelement:190:1;Biliary pancreatic surgery;en;Biliary pancreatic surgery;Biliary pancreatic surgery;SELECT_MANY_CHECKBOX
190;1;urn:osse-11:dataelement:190:1;Other;en;Other;Other;SELECT_MANY_CHECKBOX
190;1;urn:osse-11:dataelement:190:1;Unknown;en;Unknown;Unknown;SELECT_MANY_CHECKBOX
190;1;urn:osse-11:dataelement:190:1;n.a.;en;Not applicable;Not applicable;SELECT_MANY_CHECKBOX
191;1;urn:osse-11:dataelement:191:1;Yes;en;Had ICU admission;Had ICU admission;SELECT_ONE_RADIO
191;1;urn:osse-11:dataelement:191:1;No;en;No ICU admission;No ICU admission;SELECT_ONE_RADIO
191;1;urn:osse-11:dataelement:191:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
193;1;urn:osse-11:dataelement:193:1;Yes;en;Had drug with potential hepatotoxic effect;Had drug with potential hepatotoxic effect;SELECT_ONE_RADIO
193;1;urn:osse-11:dataelement:193:1;No;en;No drug with potential hepatotoxic effect ;No drug with potential hepatotoxic effect ;SELECT_ONE_RADIO
193;1;urn:osse-11:dataelement:193:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
194;1;urn:osse-11:dataelement:194:1;Yes;en;Had drug with potential adverse effect;Had drug with potential adverse effect;SELECT_ONE_RADIO
194;1;urn:osse-11:dataelement:194:1;No;en;No drug with potential adverse effect;No drug with potential adverse effect;SELECT_ONE_RADIO
194;1;urn:osse-11:dataelement:194:1;n.a.;en;Not applicable;Not applicable;SELECT_ONE_RADIO
198;1;urn:osse-11:dataelement:198:1;Yes;en;Yes;Yes;SELECT_ONE_RADIO
198;1;urn:osse-11:dataelement:198:1;No;en;No;No;SELECT_ONE_RADIO
198;1;urn:osse-11:dataelement:198:1;No data;en;No data;No data;SELECT_ONE_RADIO
199;1;urn:osse-11:dataelement:199:1;No data;en;No data;No data;SELECT_MANY_CHECKBOX
199;1;urn:osse-11:dataelement:199:1;Prophylactic;en;Prophylactic;Prophylactic;SELECT_MANY_CHECKBOX
199;1;urn:osse-11:dataelement:199:1;Therapeutic;en;Therapeutic;Therapeutic;SELECT_MANY_CHECKBOX
199;1;urn:osse-11:dataelement:199:1;Non-randomized;en;Non-randomized;Non-randomized;SELECT_MANY_CHECKBOX
199;1;urn:osse-11:dataelement:199:1;Randomized placebo controlled;en;Randomized placebo controlled;Randomized placebo controlled;SELECT_MANY_CHECKBOX
199;1;urn:osse-11:dataelement:199:1;Randomized comparative;en;Randomized comparative;Randomized comparative;SELECT_MANY_CHECKBOX
202;1;urn:osse-11:dataelement:202:1;Yes;en;Yes;Yes;SELECT_ONE_RADIO
202;1;urn:osse-11:dataelement:202:1;No;en;No;No;SELECT_ONE_RADIO
202;1;urn:osse-11:dataelement:202:1;No data;en;No data;No data;SELECT_ONE_RADIO
203;1;urn:osse-11:dataelement:203:1;Yes;en;Yes;Yes;SELECT_ONE_RADIO
203;1;urn:osse-11:dataelement:203:1;No;en;No;No;SELECT_ONE_RADIO
