dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
133;1;urn:osse-11:dataelement:133:1;RELEASED;en;9. Hepatocellular carcinoma;9. Hepatocellular carcinoma;enumerated;enumerated;SELECT_ONE_RADIO
134;1;urn:osse-11:dataelement:134:1;RELEASED;en;Number of nodules of HCC;Number of nodules of HCC;INTEGER;0<=x<=10;
135;1;urn:osse-11:dataelement:135:1;RELEASED;en;Maximum size of nodules;Maximum size of nodules;INTEGER;0<=x<=100;
136;1;urn:osse-11:dataelement:136:1;RELEASED;en;Vascular invasion;Vascular invasion;enumerated;enumerated;SELECT_ONE_RADIO
137;1;urn:osse-11:dataelement:137:1;RELEASED;en;Other relevant clinical events;Other relevant clinical events;STRING;;
138;1;urn:osse-11:dataelement:138:1;RELEASED;en;Alcoholic cirrhosis;Alcoholic cirrhosis;enumerated;enumerated;SELECT_ONE_RADIO
139;1;urn:osse-11:dataelement:139:1;RELEASED;en;Type of therapy;Type of therapy for alcoholic cirrhosis;enumerated;enumerated;SELECT_MANY_CHECKBOX
140;1;urn:osse-11:dataelement:140:1;RELEASED;en;Treatment response;Treatment response for alcoholic cirrhosis;enumerated;enumerated;SELECT_ONE_RADIO
141;1;urn:osse-11:dataelement:141:1;RELEASED;en;Hepatitis C virus antiviral therapy;Hepatitis C virus antiviral therapy;enumerated;enumerated;SELECT_ONE_RADIO
142;1;urn:osse-11:dataelement:142:1;RELEASED;en;Virus therapy;Virus therapy for HCV;enumerated;enumerated;SELECT_MANY_CHECKBOX
143;1;urn:osse-11:dataelement:143:1;RELEASED;en;Antiviral therapy terminated ;Antiviral therapy terminated for HCV;enumerated;enumerated;SELECT_ONE_RADIO
144;1;urn:osse-11:dataelement:144:1;RELEASED;en;Sustained virological response;Sustained virological response for HCV;enumerated;enumerated;SELECT_ONE_RADIO
145;1;urn:osse-11:dataelement:145:1;RELEASED;en;Early virological response;Early virological response for HCV;enumerated;enumerated;SELECT_ONE_RADIO
146;1;urn:osse-11:dataelement:146:1;RELEASED;en;Hepatitis B virus antiviral therapy;Hepatitis B virus antiviral therapy;enumerated;enumerated;SELECT_ONE_RADIO
147;1;urn:osse-11:dataelement:147:1;RELEASED;en;Virus therapy;Virus therapy for HBV;enumerated;enumerated;SELECT_MANY_CHECKBOX
148;1;urn:osse-11:dataelement:148:1;RELEASED;en;Complete response (<10 IU);Complete response (<10 IU) fór HBV;enumerated;enumerated;SELECT_ONE_RADIO
149;1;urn:osse-11:dataelement:149:1;RELEASED;en;Reactivation of hepatitis B virus;Reactivation of hepatitis B virus;enumerated;enumerated;SELECT_ONE_RADIO
150;1;urn:osse-11:dataelement:150:1;RELEASED;en;NAFLD/NASH;NAFLD/NASH therapy;enumerated;enumerated;SELECT_ONE_RADIO
152;1;urn:osse-11:dataelement:152:1;RELEASED;en;If obesity is selected-Type of therapy for obesity;If obesity is selected-Type of therapy for obesity;enumerated;enumerated;SELECT_MANY_CHECKBOX
153;1;urn:osse-11:dataelement:153:1;RELEASED;en;Specific therapy of associated complications;Specific therapy of associated complications for NASH/NAFLD;enumerated;enumerated;SELECT_ONE_RADIO
154;1;urn:osse-11:dataelement:154:1;RELEASED;en;Autoimmune hepatitis therapy;Autoimmune hepatitis therapy;enumerated;enumerated;SELECT_ONE_RADIO
155;1;urn:osse-11:dataelement:155:1;RELEASED;en;Immunosupresive therapies;Immunosupresive therapies for AIH;enumerated;enumerated;SELECT_MANY_CHECKBOX
