dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
284;1;urn:osse-11:dataelement:284:1;RELEASED;en;HCO3a;HCO3a;INTEGER;0<=x;
285;1;urn:osse-11:dataelement:285:1;RELEASED;en;BEa;BEa;FLOAT;0<=x;
286;1;urn:osse-11:dataelement:286:1;RELEASED;en;PHv;PHv;FLOAT;0<=x<=14;
287;1;urn:osse-11:dataelement:287:1;RELEASED;en;PvO2;PvO2;FLOAT;0<=x;
288;1;urn:osse-11:dataelement:288:1;RELEASED;en;PvCO2;PvCO2;FLOAT;0<=x;
289;1;urn:osse-11:dataelement:289:1;RELEASED;en;HCO3a;HCO3a;FLOAT;0<=x;
290;1;urn:osse-11:dataelement:290:1;RELEASED;en;BEa;BEa;FLOAT;0<=x;
291;1;urn:osse-11:dataelement:291:1;RELEASED;en;Type of Beta-blockers;Type of Beta-blockers;enumerated;enumerated;SELECT_MANY_CHECKBOX
292;1;urn:osse-11:dataelement:292:1;RELEASED;en;Vasopressor type;Vasopressor type;STRING;;
293;1;urn:osse-11:dataelement:293:1;RELEASED;en;#1: Complete Vasopressor table (General forms);#1: Complete Vasopressor table (General forms);STRING;;
294;1;urn:osse-11:dataelement:294:1;RELEASED;en;#1: Complete Renal Replacement Therapy table (General forms);#1: Complete Renal Replacement Therapy table (General forms);STRING;;
295;1;urn:osse-11:dataelement:295:1;RELEASED;en;#1: Complete Antibiotic table (General forms);#1: Complete Antibiotic table (General forms);STRING;;
296;1;urn:osse-11:dataelement:296:1;RELEASED;en;ICU admission date:;ICU admission date:;DATE;DD.MM.YYYY;
297;1;urn:osse-11:dataelement:297:1;RELEASED;en;ECG;ECG:;enumerated;enumerated;SELECT_ONE_RADIO
298;1;urn:osse-11:dataelement:298:1;RELEASED;en;ECG date:;ECG date:;DATE;DD.MM.YYYY;
299;1;urn:osse-11:dataelement:299:1;RELEASED;en;ECG sent by email;ECG sent by email;enumerated;enumerated;SELECT_ONE_RADIO
300;1;urn:osse-11:dataelement:300:1;RELEASED;en;Echocardiography:;Echocardiography:;enumerated;enumerated;SELECT_ONE_RADIO
301;1;urn:osse-11:dataelement:301:1;RELEASED;en;Echocardiography date;Echocardiography date;DATE;DD.MM.YYYY;
302;1;urn:osse-11:dataelement:302:1;RELEASED;en;HF (1/min):;HF (1/min):;STRING;;
303;1;urn:osse-11:dataelement:303:1;RELEASED;en;Mitral insufficiency present;Mitral insufficiency present;enumerated;enumerated;SELECT_ONE_RADIO
304;1;urn:osse-11:dataelement:304:1;RELEASED;en;▪ Severity:;▪ Severity:;enumerated;enumerated;SELECT_ONE_RADIO
305;1;urn:osse-11:dataelement:305:1;RELEASED;en;Aortic insufficiency present:;Aortic insufficiency present:;enumerated;enumerated;SELECT_ONE_RADIO
306;1;urn:osse-11:dataelement:306:1;RELEASED;en;Aortic stenosis present:;Aortic stenosis present:;enumerated;enumerated;SELECT_ONE_RADIO
307;1;urn:osse-11:dataelement:307:1;RELEASED;en;Tricuspid insufficiency present:;Tricuspid insufficiency present:;enumerated;enumerated;SELECT_ONE_RADIO
308;1;urn:osse-11:dataelement:308:1;RELEASED;en;EDV (mL):;EDV (mL):;FLOAT;0<=x;
309;1;urn:osse-11:dataelement:309:1;RELEASED;en;ESV (mL):;ESV (mL):;FLOAT;0<=x;
310;1;urn:osse-11:dataelement:310:1;RELEASED;en;E:;E:;FLOAT;0<=x;
311;1;urn:osse-11:dataelement:311:1;RELEASED;en;E’:;E’:;FLOAT;0<=x;
312;1;urn:osse-11:dataelement:312:1;RELEASED;en;EF (%):;EF (%):;FLOAT;0<=x<=100;
313;1;urn:osse-11:dataelement:313:1;RELEASED;en;A:;A:;FLOAT;0<=x;
314;1;urn:osse-11:dataelement:314:1;RELEASED;en;A’:;A’:;FLOAT;0<=x;
315;1;urn:osse-11:dataelement:315:1;RELEASED;en;E/A:;E/A:;FLOAT;0<=x;
316;1;urn:osse-11:dataelement:316:1;RELEASED;en;E/E’:;E/E’:;FLOAT;0<=x;
317;1;urn:osse-11:dataelement:317:1;RELEASED;en;Diastolic dysfunction present:;Diastolic dysfunction present:;enumerated;enumerated;SELECT_ONE_RADIO
318;1;urn:osse-11:dataelement:318:1;RELEASED;en;Overall assessment:;Overall assessment:;enumerated;enumerated;SELECT_ONE_RADIO
319;1;urn:osse-11:dataelement:319:1;RELEASED;en;If abnormal,  ▪ Abnormality specifications:;If abnormal,  ▪ Abnormality specifications:;STRING;;
320;1;urn:osse-11:dataelement:320:1;RELEASED;en;MELD score;MELD = 9.57 ln(Creatinine) + 3.78 ln(Bilirubin) + 11.2 ln(INR) + 6.43;FLOAT;0<=x<=100;
321;1;urn:osse-11:dataelement:321:1;RELEASED;en;MELDNa score;MELDNa = MELD − Na(mmol/L) − [0.025 × MELD × (140 − Na(mmol/L))] + 140 );FLOAT;0<=x<=100;
322;1;urn:osse-11:dataelement:322:1;RELEASED;en;Child-Pugh score;Child-Pugh score;INTEGER;0<=x<=20;
323;1;urn:osse-11:dataelement:323:1;RELEASED;en;Grade of Encephalopathy;(West Haven criteria);enumerated;enumerated;SELECT_ONE_RADIO
324;1;urn:osse-11:dataelement:324:1;RELEASED;en;● Maddrey's score;Maddrey's score Formula: [4.6 × (PT − control PT(sec.))] + serum bilirubin (mg/dL);FLOAT;0<=x;
325;1;urn:osse-11:dataelement:325:1;RELEASED;en;Control of Prothrombin time;Control of Prothrombin time;INTEGER;0<=x<=100;
326;1;urn:osse-11:dataelement:326:1;RELEASED;en;Mechanical ventilation;Mechanical ventilation;enumerated;enumerated;SELECT_ONE_RADIO
327;1;urn:osse-11:dataelement:327:1;RELEASED;en;Immature neutrophils;Immature neutrophils;FLOAT;0<=x<=100;
328;1;urn:osse-11:dataelement:328:1;RELEASED;en;# Positive signs of SIRS;# Positive signs of SIRS;enumerated;enumerated;SELECT_ONE_RADIO
329;1;urn:osse-11:dataelement:329:1;RELEASED;en;SIRS;SIRS;enumerated;enumerated;SELECT_ONE_RADIO
330;1;urn:osse-11:dataelement:330:1;RELEASED;en;Liver score;Liver score;INTEGER;1<=x<=3;
331;1;urn:osse-11:dataelement:331:1;RELEASED;en;Kidney score;Kidney score;INTEGER;0<=x<=3;
332;1;urn:osse-11:dataelement:332:1;RELEASED;en;Brain score;Brain score;INTEGER;0<=x<=3;
333;1;urn:osse-11:dataelement:333:1;RELEASED;en;Coagulation score ;Coagulation score ;INTEGER;0<=x<=3;
334;1;urn:osse-11:dataelement:334:1;RELEASED;en;Circulatory score;Circulatory score;INTEGER;0<=x<=3;
335;1;urn:osse-11:dataelement:335:1;RELEASED;en;Lung score;Lung score;INTEGER;0<=x<=3;
336;1;urn:osse-11:dataelement:336:1;RELEASED;en;Total number of failures;Total number of failures;INTEGER;0<=x<=6;
337;1;urn:osse-11:dataelement:337:1;RELEASED;en;Age;Age;INTEGER;0<=x<=100;
338;1;urn:osse-11:dataelement:338:1;RELEASED;en;Patient's vital status;Patient's vital status;enumerated;enumerated;SELECT_ONE_RADIO
339;1;urn:osse-11:dataelement:339:1;RELEASED;en;Date of Death;Date of Death;DATE;DD.MM.YYYY;
340;1;urn:osse-11:dataelement:340:1;RELEASED;en;In-hospital death;In-hospital death;enumerated;enumerated;SELECT_ONE_RADIO
341;1;urn:osse-11:dataelement:341:1;RELEASED;en;Cause(s) of death;Cause(s) of death;enumerated;enumerated;SELECT_MANY_CHECKBOX
342;1;urn:osse-11:dataelement:342:1;RELEASED;en;Other cause of death specification:;Other cause of death specification:;STRING;;
343;1;urn:osse-11:dataelement:343:1;RELEASED;en;Liver transplantation since last contact;Liver transplantation since last contact;enumerated;enumerated;SELECT_ONE_RADIO
344;1;urn:osse-11:dataelement:344:1;RELEASED;en;Date of liver transplantation;Date of liver transplantation;DATE;DD.MM.YYYY;
49;2;urn:osse-11:dataelement:49:2;RELEASED;en;Informed consent permission granted:;Informed consent permission granted:;enumerated;enumerated;SELECT_MANY_CHECKBOX
345;1;urn:osse-11:dataelement:345:1;RELEASED;en;Responsible Doctor;Name of the Doctor or investigator responsible for inclusion;STRING;;
52;2;urn:osse-11:dataelement:52:2;RELEASED;en;If by surrogate: Informed consent permission granted:;If by surrogate: Informed consent permission granted:;enumerated;enumerated;SELECT_MANY_CHECKBOX
43;2;urn:osse-11:dataelement:43:2;RELEASED;en;Patient ID;Patient's identification number of ACLF-I (should be the same as the sample ID);STRING;;
346;1;urn:osse-11:dataelement:346:1;RELEASED;en;If other, please specify;Specify the other conditions;STRING;;
347;1;urn:osse-11:dataelement:347:1;RELEASED;en;Albumin;Albumin;FLOAT;0<=x<=100;
348;1;urn:osse-11:dataelement:348:1;RELEASED;en;Hemoglobin;Hemoglobin;FLOAT;0<=x<=300;
349;1;urn:osse-11:dataelement:349:1;RELEASED;en;Weight (Kg);Weight (Kg);FLOAT;0<=x<=400;
350;1;urn:osse-11:dataelement:350:1;RELEASED;en;Height (cm);Height (cm);INTEGER;0<=x<=300;
351;1;urn:osse-11:dataelement:351:1;RELEASED;en;Dose of the treatment;Dose of the drug and unit <e.g. x-x-x-x mg>;STRING;;
352;1;urn:osse-11:dataelement:352:1;RELEASED;en;Virus therapy;Virus therapy for HCV;enumerated;enumerated;SELECT_MANY_CHECKBOX
353;1;urn:osse-11:dataelement:353:1;RELEASED;en;Other virus therapy;Other virus therapy for HCV;enumerated;enumerated;SELECT_MANY_CHECKBOX
354;1;urn:osse-11:dataelement:354:1;RELEASED;en;ALT;ALT;FLOAT;0<=x<=1000;
355;1;urn:osse-11:dataelement:355:1;RELEASED;en;Average number of drinks per week;Average number of drinks per week;INTEGER;0<=x<=20000;
356;1;urn:osse-11:dataelement:356:1;RELEASED;en;BEa;BEa;FLOAT;x;
357;1;urn:osse-11:dataelement:357:1;RELEASED;en;Quick (%);Quick (%);INTEGER;0<=x<=200;
358;1;urn:osse-11:dataelement:358:1;RELEASED;en;HCO3v;HCO3v;FLOAT;0<=x;
359;1;urn:osse-11:dataelement:359:1;RELEASED;en;BEv;BEv;FLOAT;x;
360;1;urn:osse-11:dataelement:360:1;RELEASED;en;Dose of the treatment (diuretics);Dose of the diuretics and unit <e.g. x-x-x-x mg>;STRING;;
361;1;urn:osse-11:dataelement:361:1;RELEASED;en;Dose of the treatment (beta blocker);Dose of the beta blocker and unit <e.g. x-x-x-x mg>;STRING;;
362;1;urn:osse-11:dataelement:362:1;RELEASED;en;Dose of the treatment (albumin);Dose of the albumin and unit <e.g. x-x-x-x mg>;STRING;;
363;1;urn:osse-11:dataelement:363:1;RELEASED;en;Dose of the treatment (PPI);Dose of the PPI and unit <e.g. x-x-x-x mg>;STRING;;
364;1;urn:osse-11:dataelement:364:1;RELEASED;en;Dose of the treatment (Rifaximin);Dose of the Rifaximin and unit <e.g. x-x-x-x mg>;STRING;;
365;1;urn:osse-11:dataelement:365:1;RELEASED;en;Swab Samples  Info;Information about swab samples taken for a readmission;enumerated;enumerated;SELECT_ONE_RADIO
366;1;urn:osse-11:dataelement:366:1;RELEASED;de;Pre-hospital antibiotics (3 Months);Did the patient receive any antibiotics during the last three months?;enumerated;enumerated;SELECT_ONE_RADIO
367;1;urn:osse-11:dataelement:367:1;RELEASED;en;Which Abx during last 3M?;Given that antibiotics were taken during the last three months, which ones were they?;enumerated;enumerated;SELECT_MANY_CHECKBOX
369;2;urn:osse-11:dataelement:369:2;RELEASED;en;Severity (Mitral Insufficiency);Severity (Mitral Insufficiency);enumerated;enumerated;SELECT_ONE_RADIO
370;1;urn:osse-11:dataelement:370:1;RELEASED;en;Severity (Aortic Insufficiency);Severity (Aortic Insufficiency);enumerated;enumerated;SELECT_ONE_RADIO
371;1;urn:osse-11:dataelement:371:1;RELEASED;en;Severity (Aortic stenosis);Severity (Aortic stenosis);enumerated;enumerated;SELECT_ONE_RADIO
372;1;urn:osse-11:dataelement:372:1;RELEASED;en;Severity (Tricuspid insufficiency);Severity (Tricuspid insufficiency);enumerated;enumerated;SELECT_ONE_RADIO
373;1;urn:osse-11:dataelement:373:1;RELEASED;en;Severity (Diastolic dysfunction);Severity (Diastolic dysfunction);enumerated;enumerated;SELECT_ONE_RADIO
230;2;urn:osse-11:dataelement:230:2;RELEASED;en;Best Motor response;Best Motor response;enumerated;enumerated;SELECT_ONE_RADIO
228;2;urn:osse-11:dataelement:228:2;RELEASED;en;Eye opening;Eye opening;enumerated;enumerated;SELECT_ONE_RADIO
229;2;urn:osse-11:dataelement:229:2;RELEASED;en;Best verbal response;Best verbal response;enumerated;enumerated;SELECT_ONE_RADIO
151;2;urn:osse-11:dataelement:151:2;RELEASED;en;Associated features ;Associated features for NASH/NAFLD;enumerated;enumerated;SELECT_MANY_CHECKBOX
204;2;urn:osse-11:dataelement:204:2;RELEASED;en;Origin at the time of hospital admission;Origin at the time of hospital admission;enumerated;enumerated;SELECT_ONE_RADIO
206;2;urn:osse-11:dataelement:206:2;RELEASED;en;Reason(s) for hospital admission;Reason(s) for hospital admission;enumerated;enumerated;SELECT_MANY_CHECKBOX
205;2;urn:osse-11:dataelement:205:2;RELEASED;en;Site of hospital admission;Site of hospital admission;enumerated;enumerated;SELECT_ONE_RADIO
374;1;urn:osse-11:dataelement:374:1;RELEASED;de;Aufnahme?;Wurde der Patient stationär aufgenommen?;BOOLEAN;(true|false|yes|no|f|t);
207;3;urn:osse-11:dataelement:207:3;RELEASED;en;Main reason for hospital admission;Main reason for hospital admission;enumerated;enumerated;SELECT_ONE_RADIO
375;1;urn:osse-11:dataelement:375:1;RELEASED;en;ALT;ALT;FLOAT;0<=x<=10000;
2;1;urn:osse-11:dataelement:2:1;OUTDATED;en;Male;Sex;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
2;2;urn:osse-11:dataelement:2:2;OUTDATED;en;Female;Sex;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
2;3;urn:osse-11:dataelement:2:3;OUTDATED;en;Male;Sex;BOOLEAN;(true|false|yes|no|f|t);SELECT_MANY_CHECKBOX
1;1;urn:osse-11:dataelement:1:1;OUTDATED;de;Größe;Körpergröße des Patienten in cm;enumerated;enumerated;SELECT_MANY_CHECKBOX
12;1;urn:osse-11:dataelement:12:1;OUTDATED;en;Year of birth;Year of birth;INTEGER;1900<=x<=2100;
13;1;urn:osse-11:dataelement:13:1;OUTDATED;en;Blood sample collection;Blood sample collection yes or no;enumerated;enumerated;
44;1;urn:osse-11:dataelement:44:1;OUTDATED;en;Inclusion criteria;Inclusion criteria;enumerated;enumerated;SELECT_MANY_CHECKBOX
43;1;urn:osse-11:dataelement:43:1;OUTDATED;en;Patient ID;Patient's identification number of the registry;STRING;;
10;1;urn:osse-11:dataelement:10:1;OUTDATED;en;Date;Date of analysis;DATE;DD.MM.YYYY;
52;1;urn:osse-11:dataelement:52:1;OUTDATED;en;If by surrogate: Informed consent permission granted:;If by surrogate: Informed consent permission granted:;enumerated;enumerated;SELECT_ONE_RADIO
226;1;urn:osse-11:dataelement:226:1;OUTDATED;en;12. Hepatocellular carcinoma;12. Hepatocellular carcinoma;enumerated;enumerated;SELECT_ONE_RADIO
228;1;urn:osse-11:dataelement:228:1;OUTDATED;en;Eye opening;Eye opening;enumerated;enumerated;SELECT_ONE_RADIO
229;1;urn:osse-11:dataelement:229:1;OUTDATED;en;Best verbal response;Best verbal response;enumerated;enumerated;SELECT_ONE_RADIO
204;1;urn:osse-11:dataelement:204:1;OUTDATED;en;Origin at the time of hospital admission;Origin at the time of hospital admission;enumerated;enumerated;SELECT_ONE_RADIO
207;1;urn:osse-11:dataelement:207:1;OUTDATED;en;Main reason for hospital admission;Main reason for hospital admission;enumerated;enumerated;SELECT_ONE_RADIO
206;1;urn:osse-11:dataelement:206:1;OUTDATED;en;Reason(s) for hospital admission;Reason(s) for hospital admission;enumerated;enumerated;SELECT_MANY_CHECKBOX
49;1;urn:osse-11:dataelement:49:1;OUTDATED;en;Informed consent permission granted:;Informed consent permission granted:;enumerated;enumerated;SELECT_ONE_RADIO
369;1;urn:osse-11:dataelement:369:1;OUTDATED;en;Severity;Severity (Mitral Insufficiency);enumerated;enumerated;SELECT_ONE_RADIO
230;1;urn:osse-11:dataelement:230:1;OUTDATED;en;Best Motor response;Best Motor response;enumerated;enumerated;SELECT_ONE_RADIO
151;1;urn:osse-11:dataelement:151:1;OUTDATED;en;Associated features ;Associated features for NASH/NAFLD;enumerated;enumerated;SELECT_ONE_RADIO
205;1;urn:osse-11:dataelement:205:1;OUTDATED;en;Site of hospital admission;Site of hospital admission;enumerated;enumerated;SELECT_ONE_RADIO
207;2;urn:osse-11:dataelement:207:2;OUTDATED;en;Main reason for hospital admission;Main reason for hospital admission;enumerated;enumerated;SELECT_ONE_RADIO
