Form;form_id;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit;source_id;slots
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:76:1;If Supplemental oxygen is yes;Way of supplemental oxygen ;;;enumerated;enumerated;;X_224_20_76;SELECT_MANY_CHECKBOX
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:77:1;If Delivery Device-Type of Delivery device;Type of Delivery device;;;enumerated;enumerated;;X_224_20_77;SELECT_MANY_CHECKBOX
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:78:1;If “Nasal catheter”- Flow (liters of O2/min):;If “Nasal catheter”- Flow (liters of O2/min):;;;enumerated;enumerated;;X_224_20_78;SELECT_ONE_RADIO
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:80:1; If “Simple oxygen mask”- Flow (liters of O2/min); If “Simple oxygen mask”- Flow (liters of O2/min);;;enumerated;enumerated;;X_224_20_80;SELECT_ONE_RADIO
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:81:1;If “Monaghan mask (reservoir)”- Flow (liters of O2/min);If “Monaghan mask (reservoir)”- Flow (liters of O2/min);;;enumerated;enumerated;;X_224_20_81;SELECT_ONE_RADIO
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:82:1;If “Venturi mask”- Flow (liters of O2/min);If “Venturi mask”- Flow (liters of O2/min);;;enumerated;enumerated;;X_224_20_82;SELECT_ONE_RADIO
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:83:1;If “High-flow nasal cannula”- Flow (liters of O2/min);If “High-flow nasal cannula”- Flow (liters of O2/min);;;INTEGER;0<=x<=100;liters;X_224_20_83;
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:84:1;If Mechanical ventilation-Reason for mechanical ventilation;Reason for mechanical ventilation;;;enumerated;enumerated;;X_224_20_84;SELECT_MANY_CHECKBOX
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:85:1;Type of mechanical ventilation;Type of mechanical ventilation;;;enumerated;enumerated;;X_224_20_85;SELECT_ONE_RADIO
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:79:1;FiO2;FiO2;;;INTEGER;0<=x<=200;%;X_224_20_79;
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:86:1;SpO2/FiO2;SpO2/FiO2;;;FLOAT;0<=x<=600;;X_224_20_86;
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:87:1;PaO2/FiO2;PaO2/FiO2;;;FLOAT;0<=x<=600;;X_224_20_87;
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:266:1;Sodium;Sodium;false;false;FLOAT;0<=x<=200;mmol/l;X_224_0_266;
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:337:1;Age;Age;false;false;INTEGER;0<=x<=100;years;X_224_0_337;
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:245:1;Leucocyte (Absolute);Leucocyte (Absolute);false;false;FLOAT;0<=x;/nl;X_224_0_245;
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:88:1;CLIF Organ Failure Score;CLIF Organ Failure Score;false;false;INTEGER;0<=x<=20;;X_224_0_88;
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:89:1;ACLF;ACLF;false;false;enumerated;enumerated;;X_224_0_89;SELECT_ONE_RADIO
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:90:1;ACLF;ACLF grade;false;false;enumerated;enumerated;;X_224_0_90;SELECT_ONE_RADIO
ACLF evaluation;224:4;Basic;;;;;urn:osse-11:dataelement:91:1;CLIF-C AD score;CLIF-C AD score;false;false;INTEGER;0<=x<=200;;X_224_0_91;
Patient’s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:55:1;Date of birth;Date of birth;true;false;DATE;DD.MM.YYYY;;X_225_0_55;
Patient’s information and Medical history;225:2;Basic;;;;;urn:osse-11:dataelement:92:1;Gender;Gender;true;false;enumerated;enumerated;;X_225_0_92;SELECT_ONE_RADIO
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:21:1;Tobacco consumption;false;false;urn:osse-11:dataelement:93:1;Has the patient ever smoked;Has the patient ever smoked;;;enumerated;enumerated;;X_225_21_93;SELECT_ONE_RADIO
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:21:1;Tobacco consumption;false;false;urn:osse-11:dataelement:94:1;If smoked-Type of consumption;If smoked-Type of consumption;;;enumerated;enumerated;;X_225_21_94;SELECT_MANY_CHECKBOX
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:21:1;Tobacco consumption;false;false;urn:osse-11:dataelement:96:1;Average number of cigarettes (per day);Average number of cigarettes (per day);;;INTEGER;0<=x<=100;per day;X_225_21_96;
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:21:1;Tobacco consumption;false;false;urn:osse-11:dataelement:95:1;Duration of consumption;Duration of consumption;;;INTEGER;0<=x<=100;years;X_225_21_95;
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:22:1;Diagnosis of Cirrhosis;false;false;urn:osse-11:dataelement:97:1;Date of diagnosis of chronic liver disease;Date of diagnosis of chronic liver disease;;;DATE;DD.MM.YYYY;;X_225_22_97;
Patient’s information and Medical history;225:2;Basic;urn:osse-11:record:22:1;Diagnosis of Cirrhosis;false;false;urn:osse-11:dataelement:98:1;Date of diagnosis of cirrhosis;Date of diagnosis of cirrhosis;;;DATE;DD.MM.YYYY;;X_225_22_98;
