Form;form_id;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit;source_id;slots
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:158:1;6. Other type of cirrhosis;6. Other type of cirrhosis treatment;false;false;enumerated;enumerated;;X_227_0_158;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:159:1;7. Continuous treatment;7. Continuous treatment;false;false;enumerated;enumerated;;X_227_0_159;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:36:1;1. Diuretics;false;false;urn:osse-11:dataelement:160:1;Diuretics;Diuretics treatment;;;enumerated;enumerated;;X_227_36_160;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:36:1;1. Diuretics;false;false;urn:osse-11:dataelement:161:1;Type of diuretic;Type of diuretic;;;enumerated;enumerated;;X_227_36_161;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:162:1;2. Therapeutic paracentesis;2. Therapeutic paracentesis;false;false;enumerated;enumerated;;X_227_0_162;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:37:1;3. Beta-blockers;false;false;urn:osse-11:dataelement:163:1;Beta-blockers;Beta-blockers;;;enumerated;enumerated;;X_227_37_163;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:37:1;3. Beta-blockers;false;false;urn:osse-11:dataelement:164:1;Indication ;Indication for beta-blockers;;;enumerated;enumerated;;X_227_37_164;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:38:1;4. Intravenous albumin;false;false;urn:osse-11:dataelement:165:1;Intravenous albumin;Intravenous albumin;;;enumerated;enumerated;;X_227_38_165;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:38:1;4. Intravenous albumin;false;false;urn:osse-11:dataelement:166:1;Indication;Indication for intravenous albumin;;;enumerated;enumerated;;X_227_38_166;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:39:1;5. Vasopressors;false;false;urn:osse-11:dataelement:167:1;Vasopressors;Vasopressors;;;enumerated;enumerated;;X_227_39_167;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:39:1;5. Vasopressors;false;false;urn:osse-11:dataelement:168:1;Indication;Indication for vasopressors;;;enumerated;enumerated;;X_227_39_168;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:169:1;6. Renal replacement treatment;6. Renal replacement treatment;false;false;enumerated;enumerated;;X_227_0_169;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:170:1;7. Artificial liver support;7. Artificial liver support;false;false;enumerated;enumerated;;X_227_0_170;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:171:1;8. Omeprazol or other PPI;8. Omeprazol or other PPI;false;false;enumerated;enumerated;;X_227_0_171;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:172:1;9. Endoscopic therapy of bleeding;9. Endoscopic therapy of bleeding;false;false;enumerated;enumerated;;X_227_0_172;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:173:1;10. Lactulose;10. Lactulose;false;false;enumerated;enumerated;;X_227_0_173;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:174:1;11. Rifaximin for HE;11. Rifaximin for HE;false;false;enumerated;enumerated;;X_227_0_174;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:175:1;TIPS;TIPS;;;enumerated;enumerated;;X_227_40_175;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:176:1;Indication;Indication for TIPS;;;enumerated;enumerated;;X_227_40_176;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:40:1;12. TIPS;false;false;urn:osse-11:dataelement:177:1;Other specification for TIPS indication;Other specification for TIPS indication;;;STRING;;;X_227_40_177;
Previous treatments;227:3;Basic;urn:osse-11:record:41:1;13. Antibiotic prophylaxis;false;false;urn:osse-11:dataelement:178:1;Antibiotic prophylaxis;Antibiotic prophylaxis;;;enumerated;enumerated;;X_227_41_178;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:41:1;13. Antibiotic prophylaxis;false;false;urn:osse-11:dataelement:179:1;Indication;Indication for antibiotic prophylaxis;;;enumerated;enumerated;;X_227_41_179;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:180:1;14. Antibiotic for infection (nonprophylactic);14. Antibiotic for infection (nonprophylactic);false;false;enumerated;enumerated;;X_227_0_180;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:42:1;15. Corticosteroids;false;false;urn:osse-11:dataelement:181:1;Corticosteroids;Corticosteroids;;;enumerated;enumerated;;X_227_42_181;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:42:1;15. Corticosteroids;false;false;urn:osse-11:dataelement:182:1;Indication (other than autoimmune cirrhosis);Indication for Corticosteroids (other than autoimmune cirrhosis);;;STRING;;;X_227_42_182;
Previous treatments;227:3;Basic;urn:osse-11:record:43:1;16. Treatments for HCC;false;false;urn:osse-11:dataelement:183:1;Treatments for HCC;Treatments for HCC;;;enumerated;enumerated;;X_227_43_183;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:43:1;16. Treatments for HCC;false;false;urn:osse-11:dataelement:184:1;Type of treatments;Type of treatments for HCC;;;enumerated;enumerated;;X_227_43_184;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:185:1;17. Insulin;17. Insulin;false;false;enumerated;enumerated;;X_227_0_185;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:44:1;18. Oral antidiabetics;false;false;urn:osse-11:dataelement:186:1;Oral antidiabetics;Oral antidiabetics;;;enumerated;enumerated;;X_227_44_186;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:44:1;18. Oral antidiabetics;false;false;urn:osse-11:dataelement:187:1;Metformin;Metformin for oral antidiabetics;;;enumerated;enumerated;;X_227_44_187;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:188:1;19. Statins;19. Statins;false;false;enumerated;enumerated;;X_227_0_188;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:45:1;20. Non-bariatric surgery;false;false;urn:osse-11:dataelement:189:1;Non-bariatric surgery;Non-bariatric surgery;;;enumerated;enumerated;;X_227_45_189;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:45:1;20. Non-bariatric surgery;false;false;urn:osse-11:dataelement:190:1;Type of surgery;Type of surgery;;;enumerated;enumerated;;X_227_45_190;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:46:1;21. ICU admission;true;false;urn:osse-11:dataelement:191:1;ICU admission;ICU admission;;;enumerated;enumerated;;X_227_46_191;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:46:1;21. ICU admission;true;false;urn:osse-11:dataelement:192:1;Number of ICU admissions;Number of ICU admissions;;;INTEGER;0<=x<=20;;X_227_46_192;
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:193:1;Any drug with potential hepatotoxic effect;Any drug with potential hepatotoxic effect;false;false;enumerated;enumerated;;X_227_0_193;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:195:1;Drug with potential hepatotoxic effect;Drug with potential hepatotoxic effect;false;true;STRING;;;X_227_0_195;
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:194:1;Any drug with potential adverse effect;Any drug with potential adverse effect;false;false;enumerated;enumerated;;X_227_0_194;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:196:1;Drug with potential adverse effect;Drug with potential adverse effect;false;true;STRING;;;X_227_0_196;
Data at visit;228:9;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:197:1;Visit Date;Visit Date;;;DATE;DD.MM.YYYY;;X_228_47_197;
Data at visit;228:9;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:198:1;Is the patient already included in a prophylactic or therapeutic;Is the patient already included in a prophylactic or therapeutic;;;enumerated;enumerated;;X_228_47_198;SELECT_ONE_RADIO
Data at visit;228:9;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:199:1;Type of study;Type of study;;;enumerated;enumerated;;X_228_47_199;SELECT_MANY_CHECKBOX
Data at visit;228:9;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:200:1;Study treatment specification;Study treatment specification;;;STRING;;;X_228_47_200;
Data at visit;228:9;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:201:1;Control treatment specification;Control treatment specification;;;STRING;;;X_228_47_201;
Data at visit;228:9;Longitudinal;urn:osse-11:record:47:1;Visit Date;false;false;urn:osse-11:dataelement:202:1;Does the patient continue in the study;Does the patient continue in the study;;;enumerated;enumerated;;X_228_47_202;SELECT_ONE_RADIO
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:203:1;Alcohol consumption since last visit;Alcohol consumption since last visit;false;false;enumerated;enumerated;;X_228_0_203;SELECT_ONE_RADIO
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:109:1;Type of alcohol consumption;Type of alcohol consumption;false;false;enumerated;enumerated;;X_228_0_109;SELECT_ONE_RADIO
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:355:1;Average number of drinks per week;Average number of drinks per week;false;false;INTEGER;0<=x<=20000;ml;X_228_0_355;
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:111:1;Most common drink consumed;Most common drink consumed;false;false;enumerated;enumerated;;X_228_0_111;SELECT_MANY_CHECKBOX
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:374:1;Hospitalization?;Was the patient hospitalizied?;false;false;BOOLEAN;(true|false|yes|no|f|t);;X_228_0_374;
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:204:1;Origin at the time of hospital admission;Origin at the time of hospital admission;true;false;enumerated;enumerated;;X_228_0_204;SELECT_ONE_RADIO
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:205:1;Site of hospital admission;Site of hospital admission;true;false;enumerated;enumerated;;X_228_0_205;SELECT_ONE_RADIO
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:206:1;Reason(s) for hospital admission;Reason(s) for hospital admission;true;false;enumerated;enumerated;;X_228_0_206;SELECT_MANY_CHECKBOX
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:346:1;If other, please specify;Specify the other conditions;false;false;STRING;;;X_228_0_346;
Data at visit;228:9;Longitudinal;;;;;urn:osse-11:dataelement:207:1;Main reason for hospital admission;Main reason for hospital admission;true;false;enumerated;enumerated;;X_228_0_207;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:49:1;1. Ascites;true;false;urn:osse-11:dataelement:114:1;1. Ascites;1. Ascites;;;enumerated;enumerated;;X_229_49_114;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:49:1;1. Ascites;true;false;urn:osse-11:dataelement:117:1; Maximum grade of ascites; Maximum grade of ascites;;;enumerated;enumerated;;X_229_49_117;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:50:1;2. Hepatic encephalopathy;true;false;urn:osse-11:dataelement:115:1;2. Hepatic encephalopathy;2. Hepatic encephalopathy;;;enumerated;enumerated;;X_229_50_115;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:50:1;2. Hepatic encephalopathy;true;false;urn:osse-11:dataelement:63:1;West Haven grade;West Haven grade of Hepatic encephalopathy;;;enumerated;enumerated;;X_229_50_63;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:50:1;2. Hepatic encephalopathy;true;false;urn:osse-11:dataelement:209:1;Precipitating events HE;Precipitating events HE;;;enumerated;enumerated;;X_229_50_209;SELECT_MANY_CHECKBOX
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:122:1;3. Gastrointestinal bleeding;3. Gastrointestinal bleeding;true;false;enumerated;enumerated;;X_229_0_122;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:51:1;4. HVPG: hepatic-venous-pressure-gradient;false;false;urn:osse-11:dataelement:210:1;Previous to inclusion of HVPG?;Previous to inclusion of HVPG?;;;enumerated;enumerated;;X_229_51_210;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:51:1;4. HVPG: hepatic-venous-pressure-gradient;false;false;urn:osse-11:dataelement:211:1;HVPG;Hepatic-venous-pressure-gradient;;;INTEGER;0<=x<=1000;mmHg;X_229_51_211;
Clinical features;229:3;Longitudinal;urn:osse-11:record:51:1;4. HVPG: hepatic-venous-pressure-gradient;false;false;urn:osse-11:dataelement:212:1;Date of HVPG;Date of HVPG;;;DATE;DD.MM.YYYY;;X_229_51_212;
Clinical features;229:3;Longitudinal;urn:osse-11:record:51:1;4. HVPG: hepatic-venous-pressure-gradient;false;false;urn:osse-11:dataelement:213:1;At current visit?;At current visit?;;;enumerated;enumerated;;X_229_51_213;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:51:1;4. HVPG: hepatic-venous-pressure-gradient;false;false;urn:osse-11:dataelement:214:1;HVPG;HVPG current;;;INTEGER;0<=x<=1000;mmHg;X_229_51_214;
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:215:1;AKI (not caused by GIB);AKI (not caused by GIB);;;enumerated;enumerated;;X_229_52_215;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:216:1;AKI caused by;AKI caused by;;;enumerated;enumerated;;X_229_52_216;SELECT_MANY_CHECKBOX
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:217:1;Grade of AKI;Grade of AKI;;;enumerated;enumerated;;X_229_52_217;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:52:1;5. AKI (not caused by GIB);false;false;urn:osse-11:dataelement:218:1;Type of AKI;Type of AKI;;;enumerated;enumerated;;X_229_52_218;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:219:1;6. Bacterial infections;6. Bacterial infections;true;false;enumerated;enumerated;;X_229_0_219;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:220:1;7. Fungal infection/Colonization;7. Fungal infection/Colonization;false;false;enumerated;enumerated;;X_229_0_220;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:221:1;8. Viral infection;8. Viral infection;false;false;enumerated;enumerated;;X_229_0_221;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:222:1;Viral infection ;Viral infection;false;true;STRING;;;X_229_0_222;
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:223:1;9. Acute alcoholic-steatohepatitis (ASH);9. Acute alcoholic-steatohepatitis (ASH);false;false;enumerated;enumerated;;X_229_0_223;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:224:1;10. Acute viral hepatitis superimposed to cirrhosis (suspected/confirmed);10. Acute viral hepatitis superimposed to cirrhosis (suspected/confirmed);false;false;enumerated;enumerated;;X_229_0_224;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:225:1;11. Suspected drug-induced liver injury;11. Suspected drug-induced liver injury;false;false;enumerated;enumerated;;X_229_0_225;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:226:2;Hepatocellular carcinoma;Hepatocellular carcinoma;;;enumerated;enumerated;;X_229_53_226;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:134:1;Number of nodules of HCC;Number of nodules of HCC;;;INTEGER;0<=x<=10;;X_229_53_134;
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:135:1;Maximum size of nodules;Maximum size of nodules;;;INTEGER;0<=x<=100;mm;X_229_53_135;
Clinical features;229:3;Longitudinal;urn:osse-11:record:53:1;12. Hepatocellular carcinoma;false;false;urn:osse-11:dataelement:136:1;Vascular invasion;Vascular invasion;;;enumerated;enumerated;;X_229_53_136;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:227:1;13. Other relevant clinical events;13. Other relevant clinical events;false;false;STRING;;;X_229_0_227;
Clinical features;229:3;Longitudinal;urn:osse-11:record:54:1;Glasgow Coma Scale;false;false;urn:osse-11:dataelement:228:1;Eye opening;Eye opening;;;enumerated;enumerated;;X_229_54_228;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:54:1;Glasgow Coma Scale;false;false;urn:osse-11:dataelement:229:1;Best verbal response;Best verbal response;;;enumerated;enumerated;;X_229_54_229;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:54:1;Glasgow Coma Scale;false;false;urn:osse-11:dataelement:230:1;Best Motor response;Best Motor response;;;enumerated;enumerated;;X_229_54_230;SELECT_ONE_RADIO
Clinical features;229:3;Longitudinal;urn:osse-11:record:54:1;Glasgow Coma Scale;false;false;urn:osse-11:dataelement:231:1;Total score;Total score;;;INTEGER;3<=x<=15;;X_229_54_231;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:232:1;Physical examination date;Physical examination date;true;false;DATE;DD.MM.YYYY;;X_230_0_232;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:233:1;Race;Race;true;false;enumerated;enumerated;;X_230_0_233;SELECT_ONE_RADIO
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:349:1;Weight (Kg);Weight (Kg);false;false;FLOAT;0<=x<=400;kg;X_230_0_349;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:350:1;Height (cm);Height (cm);false;false;INTEGER;0<=x<=300;cm;X_230_0_350;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:236:1;BMI;Formula: BMI= Weight (Kg)/Height2(m);false;false;FLOAT;0<=x<=100;;X_230_0_236;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:237:1;Flapping tremor;Flapping tremor;false;false;enumerated;enumerated;;X_230_0_237;SELECT_ONE_RADIO
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:67:1;Systolic Blood Pressure;Systolic Blood Pressure;false;false;INTEGER;0<=x<=300;mmHg;X_230_0_67;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:68:1;Diastolic Blood Pressure;Diastolic Blood Pressure;false;false;INTEGER;0<=x<=300;mmHg;X_230_0_68;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:69:1;Mean Arterial Pressure ;Formula: MAP= (2*DBP+SBP)/3;false;false;FLOAT;0<=x<=300;mmHg;X_230_0_69;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:238:1;Heart rate;Heart rate;false;false;INTEGER;0<=x<=200;bpm;X_230_0_238;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:239:1;Temperature;Temperature;false;false;FLOAT;0<=x<=50;ºC;X_230_0_239;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:240:1;Respiratory rate;Respiratory rate;false;false;INTEGER;0<=x<=100;bpm;X_230_0_240;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:73:1;SpO2;SpO2;false;false;INTEGER;0<=x<=100;%;X_230_0_73;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:74:1;Supplemental oxygen (including mechanical ventilation);Supplemental oxygen (including mechanical ventilation);false;false;enumerated;enumerated;;X_230_0_74;SELECT_ONE_RADIO
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:75:1;FiO2;"FiO2 (If Supplemental oxygen is ""No""): 21% (0.21 for internal calculation)";false;false;INTEGER;0<=x<=1000;;X_230_0_75;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:76:1;If Supplemental oxygen is yes;Way of supplemental oxygen ;false;false;enumerated;enumerated;;X_230_0_76;SELECT_MANY_CHECKBOX
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:77:1;If Delivery Device-Type of Delivery device;Type of Delivery device;false;false;enumerated;enumerated;;X_230_0_77;SELECT_MANY_CHECKBOX
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:78:1;If “Nasal catheter”- Flow (liters of O2/min):;If “Nasal catheter”- Flow (liters of O2/min):;false;false;enumerated;enumerated;;X_230_0_78;SELECT_ONE_RADIO
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:80:1; If “Simple oxygen mask”- Flow (liters of O2/min); If “Simple oxygen mask”- Flow (liters of O2/min);false;false;enumerated;enumerated;;X_230_0_80;SELECT_ONE_RADIO
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:81:1;If “Monaghan mask (reservoir)”- Flow (liters of O2/min);If “Monaghan mask (reservoir)”- Flow (liters of O2/min);false;false;enumerated;enumerated;;X_230_0_81;SELECT_ONE_RADIO
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:82:1;If “Venturi mask”- Flow (liters of O2/min);If “Venturi mask”- Flow (liters of O2/min);false;false;enumerated;enumerated;;X_230_0_82;SELECT_ONE_RADIO
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:83:1;If “High-flow nasal cannula”- Flow (liters of O2/min);If “High-flow nasal cannula”- Flow (liters of O2/min);false;false;INTEGER;0<=x<=100;liters;X_230_0_83;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:79:1;FiO2;FiO2;false;false;INTEGER;0<=x<=200;%;X_230_0_79;
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:84:1;If Mechanical ventilation-Reason for mechanical ventilation;Reason for mechanical ventilation;false;false;enumerated;enumerated;;X_230_0_84;SELECT_MANY_CHECKBOX
Physical examination;230:9;Longitudinal;;;;;urn:osse-11:dataelement:85:1;Type of mechanical ventilation;Type of mechanical ventilation;false;false;enumerated;enumerated;;X_230_0_85;SELECT_ONE_RADIO
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:241:1;Has blood analysis been performed?;Has blood analysis been performed?;true;false;enumerated;enumerated;;X_231_0_241;SELECT_ONE_RADIO
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:242:1;Date of Collection;Date of Collection;false;false;DATE;DD.MM.YYYY;;X_231_0_242;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:348:1;Hemoglobin;Hemoglobin;false;false;FLOAT;0<=x<=300;g/dl;X_231_0_348;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:244:1;Hematocrit;Hematocrit;false;false;FLOAT;0<=x<=100;%;X_231_0_244;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:245:1;Leucocyte (Absolute);Leucocyte (Absolute);false;false;FLOAT;0<=x;/nl;X_231_0_245;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:246:1;Leucocytes (%);Leucocytes (%);false;false;FLOAT;0<=x<=100;%;X_231_0_246;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:247:1;Lymphocytes;Lymphocytes;false;false;FLOAT;0<=x<=100;/nl;X_231_0_247;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:248:1;Lymphocytes (%);Lymphocytes (%);false;false;FLOAT;0<=x<=100;%;X_231_0_248;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:249:1;Monocytes (Absolute);Monocytes (Absolute);false;false;FLOAT;0<=x;/nl;X_231_0_249;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:250:1;Monocytes (%);Monocytes (%);false;false;FLOAT;0<=x<=100;%;X_231_0_250;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:251:1;Neutrophils (Absolute);Neutrophils (Absolute);false;false;FLOAT;0<=x;/nl;X_231_0_251;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:252:1;Immature neutrophils (%);Immature neutrophils (%);false;false;FLOAT;0<=x<=100;%;X_231_0_252;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:253:1;Platelet count;Platelet count;false;false;INTEGER;0<=x;/nl;X_231_0_253;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:254:1;Prothrombin time;Prothrombin time;false;false;INTEGER;0<=x<=100;s;X_231_0_254;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:255:1;Control prothrombin time;Control prothrombin time;false;false;INTEGER;0<=x<=100;s;X_231_0_255;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:256:1;INR;INR;false;false;FLOAT;0<=x<=100;;X_231_0_256;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:357:1;Quick (%);Quick (%);false;false;INTEGER;0<=x<=200;%;X_231_0_357;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:258:1;ISI;ISI;false;false;FLOAT;0<=x;;X_231_0_258;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:347:1;Albumin;Albumin;false;false;FLOAT;0<=x<=100;g/dl;X_231_0_347;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:260:1;AST;AST;false;false;FLOAT;0<=x;U/l;X_231_0_260;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:375:1;ALT;ALT;false;false;FLOAT;0<=x<=10000;U/l;X_231_0_375;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:262:1;Alkaline phosphatase;Alkaline phosphatase;false;false;FLOAT;0<=x;U/l;X_231_0_262;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:263:1;GGT;GGT;false;false;FLOAT;0<=x;U/l;X_231_0_263;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:264:1;Total Bilirubin;Total Bilirubin;false;false;FLOAT;0<=x;mg/dl;X_231_0_264;
Laboratory data 1;231:12;Longitudinal;;;;;urn:osse-11:dataelement:265:1;Creatinine;Creatinine;false;false;FLOAT;0<=x;mg/dl;X_231_0_265;
