PID;form_id;form_version;form_key;form_label;type;record_urn;dataelement_urn;source_id;mandatory;repeatable;position;resolution_status
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:173:1;X_227_0_173;False;False;20;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:174:1;X_227_0_174;False;False;21;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:180:1;X_227_0_180;False;False;24;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:185:1;X_227_0_185;False;False;27;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:188:1;X_227_0_188;False;False;29;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:193:1;X_227_0_193;False;False;33;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:195:1;X_227_0_195;False;True;34;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:194:1;X_227_0_194;False;False;36;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:196:1;X_227_0_196;False;True;37;direct_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:31:1;urn:osse-11:dataelement:138:1;X_227_31_138;False;False;3;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:31:1;urn:osse-11:dataelement:139:1;X_227_31_139;False;False;3;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:31:1;urn:osse-11:dataelement:140:1;X_227_31_140;False;False;3;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:32:1;urn:osse-11:dataelement:141:1;X_227_32_141;False;False;4;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:32:1;urn:osse-11:dataelement:142:1;X_227_32_142;False;False;4;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:32:1;urn:osse-11:dataelement:143:1;X_227_32_143;False;False;4;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:32:1;urn:osse-11:dataelement:144:1;X_227_32_144;False;False;4;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:32:1;urn:osse-11:dataelement:145:1;X_227_32_145;False;False;4;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:33:1;urn:osse-11:dataelement:146:1;X_227_33_146;False;False;5;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:33:1;urn:osse-11:dataelement:147:1;X_227_33_147;False;False;5;record_resolved
198;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:33:1;urn:osse-11:dataelement:148:1;X_227_33_148;False;False;5;record_resolved
