source_id,dataelement_urn,denominator_n,numerator_n,metric,completeness_percent
X_231_0_254,urn:osse-11:dataelement:254:1,1049,42,Least complete elements,4.0
X_231_0_250,urn:osse-11:dataelement:250:1,1077,44,Least complete elements,4.09
X_230_0_76,urn:osse-11:dataelement:76:1,1064,44,Least complete elements,4.14
X_224_20_84,urn:osse-11:dataelement:84:1,265,11,Least complete elements,4.15
X_224_20_78,urn:osse-11:dataelement:78:1,261,11,Least complete elements,4.21
X_229_51_211,urn:osse-11:dataelement:211:1,1084,47,Least complete elements,4.34
X_231_0_248,urn:osse-11:dataelement:248:1,1073,48,Least complete elements,4.47
X_229_51_212,urn:osse-11:dataelement:212:1,1086,50,Least complete elements,4.6
X_226_0_137,urn:osse-11:dataelement:137:1,257,13,Least complete elements,5.06
X_231_0_271,urn:osse-11:dataelement:271:1,1045,54,Least complete elements,5.17
X_231_0_270,urn:osse-11:dataelement:270:1,1044,55,Least complete elements,5.27
X_231_0_272,urn:osse-11:dataelement:272:1,1033,58,Least complete elements,5.61
X_231_0_269,urn:osse-11:dataelement:269:1,1032,59,Least complete elements,5.72
X_234_0_301,urn:osse-11:dataelement:301:1,505,29,Least complete elements,5.74
X_228_0_355,urn:osse-11:dataelement:355:1,1016,61,Least complete elements,6.0
X_231_0_251,urn:osse-11:dataelement:251:1,1030,65,Least complete elements,6.31
X_224_20_77,urn:osse-11:dataelement:77:1,261,17,Least complete elements,6.51
X_231_0_249,urn:osse-11:dataelement:249:1,1027,67,Least complete elements,6.52
X_231_0_247,urn:osse-11:dataelement:247:1,1022,68,Least complete elements,6.65
X_222_0_52,urn:osse-11:dataelement:52:2,279,20,Least complete elements,7.17
X_236_0_339,urn:osse-11:dataelement:339:1,996,73,Least complete elements,7.33
X_226_30_134,urn:osse-11:dataelement:134:1,257,20,Least complete elements,7.78
X_235_66_282,urn:osse-11:dataelement:282:1,964,77,Least complete elements,7.99
X_235_60_283,urn:osse-11:dataelement:283:1,951,82,Least complete elements,8.62
X_224_20_76,urn:osse-11:dataelement:76:1,261,23,Least complete elements,8.81
X_232_0_281,urn:osse-11:dataelement:281:1,974,87,Least complete elements,8.93
X_232_0_282,urn:osse-11:dataelement:282:1,974,87,Least complete elements,8.93
X_232_0_283,urn:osse-11:dataelement:283:1,974,87,Least complete elements,8.93
X_232_0_356,urn:osse-11:dataelement:356:1,971,87,Least complete elements,8.96
X_232_0_289,urn:osse-11:dataelement:289:1,976,92,Least complete elements,9.43
X_236_0_341,urn:osse-11:dataelement:341:1,992,94,Least complete elements,9.48
X_232_0_280,urn:osse-11:dataelement:280:1,961,92,Least complete elements,9.57
X_228_0_111,urn:osse-11:dataelement:111:1,1007,103,Least complete elements,10.23
X_226_30_135,urn:osse-11:dataelement:135:1,257,27,Least complete elements,10.51
X_224_20_79,urn:osse-11:dataelement:79:1,261,28,Least complete elements,10.73
X_224_20_87,urn:osse-11:dataelement:87:1,261,28,Least complete elements,10.73
X_236_0_340,urn:osse-11:dataelement:340:1,913,110,Least complete elements,12.05
X_225_22_100,urn:osse-11:dataelement:100:1,261,33,Least complete elements,12.64
X_223_7_29,urn:osse-11:dataelement:29:1,860,111,Least complete elements,12.91
