source_id,dataelement_urn,denominator_n,numerator_n,metric,completeness_percent
X_233_32_144,urn:osse-11:dataelement:144:1,424,407,Least complete elements,95.99
X_231_0_245,urn:osse-11:dataelement:245:1,428,411,Least complete elements,96.03
X_229_0_221,urn:osse-11:dataelement:221:1,428,412,Least complete elements,96.26
X_227_0_169,urn:osse-11:dataelement:169:1,248,239,Least complete elements,96.37
X_227_0_173,urn:osse-11:dataelement:173:1,248,239,Least complete elements,96.37
X_227_32_143,urn:osse-11:dataelement:143:1,248,239,Least complete elements,96.37
X_227_32_144,urn:osse-11:dataelement:144:1,248,239,Least complete elements,96.37
X_227_35_154,urn:osse-11:dataelement:154:1,248,239,Least complete elements,96.37
X_227_39_167,urn:osse-11:dataelement:167:1,248,239,Least complete elements,96.37
X_227_44_186,urn:osse-11:dataelement:186:1,248,239,Least complete elements,96.37
X_227_44_187,urn:osse-11:dataelement:187:1,248,239,Least complete elements,96.37
X_224_19_67,urn:osse-11:dataelement:67:1,261,252,Least complete elements,96.55
X_224_19_68,urn:osse-11:dataelement:68:1,261,252,Least complete elements,96.55
X_235_56_256,urn:osse-11:dataelement:256:1,411,397,Least complete elements,96.59
X_235_65_256,urn:osse-11:dataelement:256:1,411,397,Least complete elements,96.59
X_231_0_256,urn:osse-11:dataelement:256:1,426,412,Least complete elements,96.71
X_227_0_174,urn:osse-11:dataelement:174:1,248,240,Least complete elements,96.77
X_227_0_193,urn:osse-11:dataelement:193:1,248,240,Least complete elements,96.77
X_227_33_146,urn:osse-11:dataelement:146:1,248,240,Least complete elements,96.77
X_227_36_160,urn:osse-11:dataelement:160:1,248,240,Least complete elements,96.77
X_227_37_163,urn:osse-11:dataelement:163:1,248,240,Least complete elements,96.77
X_227_38_165,urn:osse-11:dataelement:165:1,248,240,Least complete elements,96.77
X_235_60_245,urn:osse-11:dataelement:245:1,410,397,Least complete elements,96.83
X_235_56_264,urn:osse-11:dataelement:264:1,411,398,Least complete elements,96.84
X_235_59_264,urn:osse-11:dataelement:264:1,411,398,Least complete elements,96.84
X_235_61_264,urn:osse-11:dataelement:264:1,411,398,Least complete elements,96.84
X_235_61_330,urn:osse-11:dataelement:330:1,411,398,Least complete elements,96.84
X_235_65_333,urn:osse-11:dataelement:333:1,411,398,Least complete elements,96.84
X_226_28_124,urn:osse-11:dataelement:124:1,257,249,Least complete elements,96.89
X_231_0_264,urn:osse-11:dataelement:264:1,426,413,Least complete elements,96.95
X_227_36_161,urn:osse-11:dataelement:161:1,362,351,Least complete elements,96.96
X_227_0_180,urn:osse-11:dataelement:180:1,248,241,Least complete elements,97.18
X_227_0_185,urn:osse-11:dataelement:185:1,248,241,Least complete elements,97.18
X_227_31_140,urn:osse-11:dataelement:140:1,248,241,Least complete elements,97.18
X_227_41_178,urn:osse-11:dataelement:178:1,248,241,Least complete elements,97.18
X_227_43_183,urn:osse-11:dataelement:183:1,248,241,Least complete elements,97.18
X_226_25_117,urn:osse-11:dataelement:117:1,257,250,Least complete elements,97.28
X_235_68_265,urn:osse-11:dataelement:265:1,410,399,Least complete elements,97.32
X_235_65_64,urn:osse-11:dataelement:64:1,409,399,Least complete elements,97.56
X_227_40_175,urn:osse-11:dataelement:175:1,248,242,Least complete elements,97.58
X_227_42_181,urn:osse-11:dataelement:181:1,248,242,Least complete elements,97.58
X_224_0_89,urn:osse-11:dataelement:89:1,261,255,Least complete elements,97.7
X_224_18_64,urn:osse-11:dataelement:64:1,261,255,Least complete elements,97.7
X_224_18_65,urn:osse-11:dataelement:65:1,261,255,Least complete elements,97.7
X_224_20_71,urn:osse-11:dataelement:71:1,261,255,Least complete elements,97.7
X_233_32_141,urn:osse-11:dataelement:141:1,418,409,Least complete elements,97.85
X_235_61_57,urn:osse-11:dataelement:57:1,408,400,Least complete elements,98.04
X_226_27_122,urn:osse-11:dataelement:122:1,257,252,Least complete elements,98.05
X_226_29_126,urn:osse-11:dataelement:126:1,257,252,Least complete elements,98.05
X_224_19_66,urn:osse-11:dataelement:66:1,261,256,Least complete elements,98.08
X_231_0_274,urn:osse-11:dataelement:274:1,423,415,Least complete elements,98.11
X_235_56_265,urn:osse-11:dataelement:265:1,407,400,Least complete elements,98.28
X_235_62_265,urn:osse-11:dataelement:265:1,407,400,Least complete elements,98.28
X_235_62_331,urn:osse-11:dataelement:331:1,407,400,Least complete elements,98.28
X_233_31_138,urn:osse-11:dataelement:138:1,416,409,Least complete elements,98.32
X_231_0_244,urn:osse-11:dataelement:244:1,422,415,Least complete elements,98.34
X_231_0_265,urn:osse-11:dataelement:265:1,422,415,Least complete elements,98.34
X_231_0_348,urn:osse-11:dataelement:348:1,421,414,Least complete elements,98.34
X_227_32_141,urn:osse-11:dataelement:141:1,248,244,Least complete elements,98.39
X_224_0_337,urn:osse-11:dataelement:337:1,260,256,Least complete elements,98.46
X_231_0_242,urn:osse-11:dataelement:242:1,421,415,Least complete elements,98.57
X_226_26_115,urn:osse-11:dataelement:115:1,257,254,Least complete elements,98.83
X_235_0_336,urn:osse-11:dataelement:336:1,405,401,Least complete elements,99.01
X_235_62_59,urn:osse-11:dataelement:59:1,405,401,Least complete elements,99.01
X_235_63_332,urn:osse-11:dataelement:332:1,405,401,Least complete elements,99.01
X_235_68_337,urn:osse-11:dataelement:337:1,405,401,Least complete elements,99.01
X_226_25_114,urn:osse-11:dataelement:114:1,257,255,Least complete elements,99.22
X_224_0_62,urn:osse-11:dataelement:62:1,261,259,Least complete elements,99.23
X_224_16_58,urn:osse-11:dataelement:58:1,261,259,Least complete elements,99.23
X_224_17_59,urn:osse-11:dataelement:59:1,261,259,Least complete elements,99.23
X_224_17_60,urn:osse-11:dataelement:60:1,261,259,Least complete elements,99.23
X_222_0_49,urn:osse-11:dataelement:49:2,961,957,Least complete elements,99.58
X_227_31_138,urn:osse-11:dataelement:138:1,248,247,Least complete elements,99.6
X_228_0_206,urn:osse-11:dataelement:206:1,661,661,Least complete elements,100.0
X_229_50_209,urn:osse-11:dataelement:209:1,435,435,Least complete elements,100.0
X_228_0_204,urn:osse-11:dataelement:204:1,417,417,Least complete elements,100.0
X_228_0_205,urn:osse-11:dataelement:205:1,417,417,Least complete elements,100.0
X_228_0_207,urn:osse-11:dataelement:207:1,417,417,Least complete elements,100.0
X_228_47_197,urn:osse-11:dataelement:197:1,417,417,Least complete elements,100.0
X_231_0_241,urn:osse-11:dataelement:241:1,417,417,Least complete elements,100.0
X_229_0_122,urn:osse-11:dataelement:122:1,416,416,Least complete elements,100.0
X_229_0_219,urn:osse-11:dataelement:219:1,416,416,Least complete elements,100.0
X_229_49_114,urn:osse-11:dataelement:114:1,416,416,Least complete elements,100.0
X_229_49_117,urn:osse-11:dataelement:117:1,416,416,Least complete elements,100.0
X_229_50_115,urn:osse-11:dataelement:115:1,416,416,Least complete elements,100.0
X_229_50_63,urn:osse-11:dataelement:63:1,416,416,Least complete elements,100.0
X_230_0_232,urn:osse-11:dataelement:232:1,416,416,Least complete elements,100.0
X_230_0_233,urn:osse-11:dataelement:233:1,416,416,Least complete elements,100.0
X_232_0_279,urn:osse-11:dataelement:279:1,415,415,Least complete elements,100.0
X_233_0_191,urn:osse-11:dataelement:191:1,412,412,Least complete elements,100.0
X_236_0_338,urn:osse-11:dataelement:338:1,412,412,Least complete elements,100.0
X_236_0_343,urn:osse-11:dataelement:343:1,412,412,Least complete elements,100.0
X_235_62_61,urn:osse-11:dataelement:61:1,402,402,Least complete elements,100.0
X_235_63_62,urn:osse-11:dataelement:62:1,402,402,Least complete elements,100.0
X_223_7_28,urn:osse-11:dataelement:28:1,376,376,Least complete elements,100.0
X_223_8_31,urn:osse-11:dataelement:31:1,376,376,Least complete elements,100.0
X_223_9_32,urn:osse-11:dataelement:32:1,376,376,Least complete elements,100.0
X_225_0_104,urn:osse-11:dataelement:104:1,307,307,Least complete elements,100.0
X_222_0_345,urn:osse-11:dataelement:345:1,265,265,Least complete elements,100.0
X_222_0_42,urn:osse-11:dataelement:42:1,265,265,Least complete elements,100.0
X_222_0_43,urn:osse-11:dataelement:43:2,265,265,Least complete elements,100.0
X_222_0_46,urn:osse-11:dataelement:46:1,265,265,Least complete elements,100.0
X_222_0_47,urn:osse-11:dataelement:47:1,265,265,Least complete elements,100.0
X_222_0_48,urn:osse-11:dataelement:48:1,265,265,Least complete elements,100.0
X_224_16_57,urn:osse-11:dataelement:57:1,261,261,Least complete elements,100.0
X_224_17_61,urn:osse-11:dataelement:61:1,261,261,Least complete elements,100.0
X_225_0_105,urn:osse-11:dataelement:105:1,261,261,Least complete elements,100.0
X_225_0_55,urn:osse-11:dataelement:55:1,261,261,Least complete elements,100.0
X_225_0_92,urn:osse-11:dataelement:92:1,261,261,Least complete elements,100.0
X_226_0_112,urn:osse-11:dataelement:112:1,257,257,Least complete elements,100.0
X_226_0_113,urn:osse-11:dataelement:113:1,257,257,Least complete elements,100.0
X_227_0_112,urn:osse-11:dataelement:112:1,248,248,Least complete elements,100.0
X_227_46_191,urn:osse-11:dataelement:191:1,248,248,Least complete elements,100.0
X_227_46_192,urn:osse-11:dataelement:192:1,248,248,Least complete elements,100.0
X_234_0_297,urn:osse-11:dataelement:297:1,191,191,Least complete elements,100.0
X_234_0_300,urn:osse-11:dataelement:300:1,191,191,Least complete elements,100.0
X_228_0_374,urn:osse-11:dataelement:374:1,5,5,Least complete elements,100.0
